dvcat,weight,dead,airbag,seatbelt,frontal,sex,ageOFocc,yearacc,yearVeh,occRole,deploy,injSeverity
25-39,25.0689999999013,alive,none,belted,1,f,26,1997,1990,driver,0,3
10-24,25.0689999999013,alive,airbag,belted,1,f,72,1997,1995,driver,1,1
10-24,32.3789999997243,alive,none,none,1,f,69,1997,1988,driver,0,4
25-39,495.443999998271,alive,airbag,belted,1,f,53,1997,1995,driver,1,1
25-39,25.0689999999013,alive,none,belted,1,f,32,1997,1988,driver,0,3
40-54,25.0689999999013,alive,none,belted,1,f,22,1997,1985,driver,0,3
55+,27.0779999999795,alive,none,belted,1,m,22,1997,1984,driver,0,3
55+,27.0779999999795,dead,none,none,1,m,32,1997,1987,driver,0,4
10-24,812.868999995291,alive,none,belted,0,m,40,1997,1984,driver,0,1
10-24,812.868999995291,alive,none,belted,1,f,18,1997,1987,driver,0,0
10-24,812.868999995291,alive,none,belted,1,m,21,1997,1987,pass,0,0
10-24,299.458999998868,alive,none,belted,0,f,69,1997,1982,driver,0,1
10-24,923.995999999344,alive,airbag,belted,1,m,67,1997,1991,driver,1,1
25-39,89.6269999993965,dead,airbag,belted,0,f,54,1997,1994,driver,0,4
25-39,29.0809999997728,alive,none,belted,0,f,37,1997,1991,driver,0,1
25-39,29.0809999997728,alive,none,belted,1,m,71,1997,1990,driver,0,1
25-39,29.0809999997728,alive,none,belted,1,f,63,1997,1990,pass,0,3
10-24,58.1909999996424,alive,none,none,0,f,23,1997,1986,driver,0,3
10-24,1156.43899999559,alive,airbag,belted,0,m,33,1997,1995,driver,0,0
10-24,1156.43899999559,alive,airbag,belted,0,m,17,1997,1995,pass,0,0
10-24,86.1999999992549,alive,airbag,none,1,f,20,1997,1995,driver,1,1
10-24,86.1999999992549,alive,none,belted,0,f,22,1997,1987,driver,0,0
10-24,397.170999996364,alive,none,none,0,m,45,1997,1989,driver,0,0
10-24,397.170999996364,alive,none,none,0,m,36,1997,1989,pass,0,1
10-24,37.0989999999292,alive,airbag,belted,1,f,23,1997,1995,driver,1,1
10-24,79.2049999991432,alive,none,none,1,f,19,1997,1989,driver,0,1
10-24,244.389999998733,alive,none,belted,0,m,26,1997,1986,driver,0,0
10-24,244.389999998733,alive,none,belted,1,f,41,1997,1990,driver,0,0
40-54,26.2329999997746,alive,none,belted,1,f,18,1997,1987,driver,0,1
40-54,26.2329999997746,alive,none,none,1,m,30,1997,1987,pass,0,3
10-24,241.560999998823,alive,airbag,belted,1,f,26,1997,1992,driver,1,1
1-9,745.350999996066,alive,none,belted,1,m,16,1997,1988,driver,0,0
1-9,745.350999996066,alive,none,belted,1,m,17,1997,1988,pass,0,0
10-24,745.350999996066,alive,airbag,belted,0,m,20,1997,1990,driver,0,0
10-24,745.350999996066,alive,airbag,belted,0,f,17,1997,1990,pass,0,0
25-39,30.1479999998119,alive,none,none,1,m,32,1997,1993,driver,0,3
25-39,30.1479999998119,alive,airbag,none,1,f,19,1997,1993,driver,1,2
25-39,30.1479999998119,alive,airbag,belted,0,f,52,1997,1995,driver,0,1
10-24,199.315999999642,alive,none,belted,1,f,64,1997,1992,driver,0,2
10-24,199.315999999642,alive,none,belted,1,f,19,1997,1984,driver,0,2
10-24,199.315999999642,alive,none,belted,1,m,36,1997,1988,driver,0,2
10-24,199.315999999642,alive,airbag,belted,0,m,23,1997,1993,driver,0,1
55+,25.0689999999013,alive,none,none,1,m,76,1997,1984,driver,0,3
10-24,206.308999998495,alive,airbag,belted,1,m,32,1997,1995,driver,1,0
10-24,206.308999998495,alive,none,belted,0,m,21,1997,1987,driver,0,1
10-24,206.308999998495,alive,none,belted,0,m,25,1997,1987,pass,0,0
10-24,440.461999997497,alive,airbag,belted,0,f,37,1997,1992,driver,0,1
10-24,440.461999997497,alive,airbag,none,0,f,16,1997,1992,pass,0,0
10-24,105.151999999769,alive,none,belted,0,f,24,1997,1977,driver,0,1
10-24,105.151999999769,alive,none,belted,1,m,39,1997,1987,driver,0,0
10-24,324.452999997884,alive,none,belted,1,m,18,1997,1985,driver,0,0
40-54,98.5229999991134,alive,none,belted,1,f,64,1997,1991,driver,0,3
40-54,435.56799999997,alive,none,belted,1,m,22,1997,1984,driver,0,1
40-54,1343.96799999475,alive,none,belted,1,m,27,1997,1968,driver,0,0
25-39,29.0359999998473,alive,none,belted,1,m,18,1997,1977,driver,0,0
55+,29.0359999998473,alive,none,belted,0,f,20,1997,1986,driver,0,3
25-39,25.0689999999013,alive,airbag,none,1,m,74,1997,1993,driver,1,3
1-9,565.863999992609,alive,airbag,none,0,f,17,1997,1996,driver,0,0
1-9,565.863999992609,alive,airbag,none,0,f,16,1997,1996,pass,0,0
25-39,37.5279999999329,alive,airbag,none,0,f,20,1997,1996,driver,0,3
25-39,37.5279999999329,alive,airbag,none,0,m,19,1997,1996,pass,0,2
25-39,107.452999999747,alive,none,none,1,m,26,1997,1983,driver,0,3
10-24,2135.41699999571,alive,airbag,belted,1,m,32,1997,1995,driver,0,0
25-39,82.9799999995157,alive,none,none,0,f,78,1997,1986,driver,0,3
25-39,82.9799999995157,alive,none,belted,1,m,40,1997,1985,driver,0,0
25-39,82.9799999995157,alive,none,belted,1,f,36,1997,1985,pass,0,0
10-24,568.998999997973,alive,none,none,1,m,76,1997,1989,driver,0,5
10-24,211.896999999881,alive,none,none,0,f,55,1997,1983,driver,0,1
10-24,211.896999999881,alive,none,belted,1,m,45,1997,1986,driver,0,0
10-24,211.896999999881,alive,none,belted,0,f,20,1997,1992,driver,0,1
10-24,211.896999999881,alive,none,belted,0,f,43,1997,1992,pass,0,1
25-39,457.304999999702,alive,none,belted,1,m,21,1997,1994,driver,0,0
10-24,653.819999992847,alive,none,belted,1,m,44,1997,1988,driver,0,0
10-24,653.819999992847,alive,none,belted,1,f,62,1997,1988,pass,0,0
25-39,37.5279999999329,alive,airbag,belted,0,f,20,1997,1997,driver,1,3
25-39,37.5279999999329,alive,airbag,belted,0,f,17,1997,1997,pass,1,3
25-39,82.9799999995157,alive,none,none,1,m,24,1997,1983,driver,0,2
25-39,82.9799999995157,alive,none,none,1,m,62,1997,1983,pass,0,2
25-39,82.9799999995157,alive,none,none,1,f,37,1997,1981,driver,0,3
10-24,167.319999998435,alive,none,belted,1,f,82,1997,1988,driver,0,0
10-24,167.319999998435,alive,none,belted,1,f,44,1997,1988,pass,0,1
10-24,361.100999999791,alive,airbag,belted,0,f,23,1997,1994,driver,0,0
55+,27.0779999999795,dead,none,belted,1,m,67,1997,1992,driver,0,4
55+,27.0779999999795,dead,none,belted,1,f,64,1997,1992,pass,0,4
40-54,27.0779999999795,alive,none,belted,1,m,65,1997,1991,driver,0,3
10-24,91.6939999992028,alive,none,belted,0,f,42,1997,1988,driver,0,1
10-24,91.6939999992028,alive,none,none,1,f,21,1997,1989,driver,0,1
10-24,39.3729999996722,alive,airbag,belted,1,f,46,1997,1996,driver,1,1
10-24,39.3729999996722,alive,airbag,belted,1,f,17,1997,1996,pass,1,1
10-24,39.3729999996722,alive,none,belted,0,f,81,1997,1991,driver,0,1
1-9,84.0599999995902,alive,airbag,belted,0,m,50,1997,1992,driver,0,0
55+,51.5559999998659,alive,none,belted,0,m,33,1997,1991,driver,0,3
40-54,51.5559999998659,alive,airbag,belted,1,m,40,1997,1995,driver,1,1
10-24,222.368999999017,alive,airbag,belted,1,m,23,1997,1995,driver,0,1
10-24,91.6939999992028,alive,airbag,none,0,f,42,1997,1993,driver,0,1
10-24,91.6939999992028,alive,none,belted,1,f,17,1997,1986,driver,0,1
10-24,227.935999998823,alive,none,belted,0,m,71,1997,1987,driver,0,0
10-24,227.935999998823,alive,none,belted,1,m,66,1997,1979,driver,0,0
10-24,37.5279999999329,alive,none,none,0,f,20,1997,1989,driver,0,1
10-24,101.069999999367,alive,none,none,1,m,18,1997,1987,driver,0,3
10-24,101.069999999367,alive,none,none,1,m,26,1997,1987,pass,0,1
55+,27.0779999999795,alive,none,none,1,m,20,1997,1981,driver,0,3
55+,27.0779999999795,alive,none,none,1,f,19,1997,1981,pass,0,3
10-24,43.6609999998473,alive,none,none,0,m,18,1997,1986,driver,0,3
55+,43.6609999998473,alive,none,belted,0,m,25,1997,1979,driver,0,3
10-24,402.047999996692,alive,none,belted,0,m,21,1997,1982,driver,0,1
10-24,402.047999996692,alive,none,belted,0,f,18,1997,1982,pass,0,1
10-24,402.047999996692,alive,none,belted,1,f,18,1997,1990,driver,0,1
10-24,402.047999996692,alive,none,none,1,f,20,1997,1990,pass,0,1
10-24,25.0689999999013,alive,none,belted,1,m,23,1997,1993,driver,0,1
25-39,29.3679999997839,alive,airbag,none,1,m,26,1997,1992,driver,1,3
25-39,29.3679999997839,alive,none,none,1,m,55,1997,1992,pass,0,1
10-24,126.668999999762,alive,none,belted,0,f,37,1997,1988,driver,0,0
10-24,126.668999999762,alive,airbag,none,1,f,50,1997,1996,driver,1,1
10-24,91.6939999992028,alive,none,belted,0,m,45,1997,1981,driver,0,5
10-24,91.6939999992028,alive,none,belted,1,m,75,1997,1987,driver,0,0
10-24,30.9459999999963,alive,airbag,belted,1,f,57,1997,1995,driver,1,1
10-24,203.859999999404,alive,none,belted,1,f,17,1997,1989,driver,0,0
10-24,203.859999999404,alive,none,belted,1,f,17,1997,1989,pass,0,0
10-24,37.5279999999329,alive,airbag,belted,1,f,50,1997,1995,driver,1,3
40-54,25.0689999999013,alive,none,none,0,f,77,1997,1989,driver,0,3
55+,408.724999997765,alive,airbag,none,1,m,22,1997,1994,driver,1,2
10-24,25.0689999999013,alive,none,belted,0,m,53,1997,1991,driver,0,3
10-24,403.525999996811,alive,airbag,belted,0,m,42,1997,1991,driver,1,2
10-24,403.525999996811,alive,none,belted,0,m,42,1997,1991,pass,0,0
40-54,37.5279999999329,alive,none,belted,1,m,20,1997,1987,driver,0,3
40-54,37.5279999999329,alive,airbag,belted,1,f,43,1997,1997,driver,1,3
25-39,25.0689999999013,alive,none,belted,1,m,17,1997,1985,driver,0,1
25-39,25.0689999999013,alive,none,none,1,m,16,1997,1985,pass,0,3
25-39,25.0689999999013,alive,airbag,none,1,f,30,1997,1992,driver,1,1
10-24,573.615999996662,alive,none,belted,1,f,61,1997,1993,driver,0,1
10-24,573.615999996662,alive,none,none,0,f,36,1997,1983,driver,0,1
10-24,573.615999996662,alive,none,none,0,f,38,1997,1983,pass,0,1
25-39,100.212999999523,alive,airbag,belted,0,m,31,1997,1996,driver,0,5
25-39,100.212999999523,alive,airbag,none,0,f,25,1997,1996,pass,0,5
40-54,100.212999999523,alive,none,belted,1,m,52,1997,1984,driver,0,1
10-24,84.0599999995902,alive,none,none,0,f,46,1997,1987,driver,0,1
10-24,82.9799999995157,alive,airbag,belted,1,f,30,1997,1993,driver,1,3
10-24,328.91099999845,alive,none,belted,0,m,16,1997,1991,driver,0,3
10-24,328.91099999845,alive,none,belted,0,f,16,1997,1991,pass,0,2
25-39,27.4089999999851,alive,none,belted,1,m,58,1997,1992,driver,0,3
10-24,27.4089999999851,alive,none,belted,1,f,18,1997,1987,driver,0,1
10-24,25.0689999999013,alive,none,belted,0,m,21,1997,1992,driver,0,3
10-24,25.0689999999013,alive,none,belted,0,f,17,1997,1992,pass,0,3
10-24,203.147999998182,alive,none,none,1,m,71,1997,1986,driver,0,2
10-24,158.202999999747,alive,airbag,belted,1,f,72,1997,1994,driver,1,2
10-24,158.202999999747,alive,airbag,belted,1,m,71,1997,1994,pass,1,1
10-24,1042.16699999571,alive,none,belted,1,f,74,1997,1988,driver,0,1
10-24,108.014999999665,alive,none,belted,1,m,41,1997,1985,driver,0,1
10-24,108.014999999665,alive,none,belted,1,m,54,1997,1987,driver,0,1
10-24,108.014999999665,alive,none,belted,1,f,61,1997,1987,pass,0,1
25-39,45.3759999996983,alive,none,none,1,m,41,1997,1984,driver,0,3
10-24,128.236999999732,alive,none,belted,1,m,17,1997,1988,driver,0,0
10-24,128.236999999732,alive,none,belted,1,f,17,1997,1988,pass,0,1
10-24,44.3329999996349,alive,airbag,belted,1,m,67,1997,1997,driver,1,1
10-24,44.3329999996349,alive,airbag,belted,1,f,66,1997,1997,pass,1,1
25-39,94.6489999992773,alive,none,belted,0,m,23,1997,1984,driver,0,0
10-24,94.6489999992773,alive,none,belted,1,m,29,1997,1988,driver,0,1
25-39,94.6489999992773,alive,none,belted,1,m,46,1997,1984,driver,0,1
10-24,305.89999999851,alive,none,none,1,m,23,1997,1986,driver,0,2
10-24,305.89999999851,alive,none,none,1,m,24,1997,1986,pass,0,3
25-39,25.4919999998529,alive,none,belted,1,m,67,1997,1986,driver,0,3
40-54,25.4919999998529,alive,none,none,0,m,51,1997,1985,driver,0,3
40-54,25.4919999998529,alive,none,none,0,m,46,1997,1985,pass,0,2
25-39,25.4919999998529,alive,none,belted,1,m,63,1997,1988,driver,0,1
25-39,25.4919999998529,alive,none,belted,1,f,51,1997,1988,pass,0,3
10-24,452.251999996603,alive,airbag,belted,1,f,21,1997,1992,driver,1,2
25-39,452.251999996603,alive,none,none,1,f,20,1997,1991,driver,0,3
10-24,2321.68799999356,alive,airbag,belted,1,f,21,1997,1996,driver,1,2
10-24,2321.68799999356,alive,none,belted,1,m,26,1997,1996,pass,0,0
25-39,38.7829999998212,alive,none,none,1,m,30,1997,1985,driver,0,0
1-9,190.538999998942,alive,none,none,0,f,28,1997,1986,driver,0,1
10-24,258.579999998212,alive,none,none,0,f,44,1997,1989,driver,0,2
10-24,258.579999998212,alive,none,none,0,f,30,1997,1989,pass,0,0
10-24,75.1079999990761,alive,none,none,0,m,43,1997,1995,driver,0,1
10-24,803.823999993503,alive,none,none,1,m,38,1997,1988,driver,0,1
10-24,55.1809999998659,alive,none,belted,1,m,59,1997,1981,driver,0,0
40-54,175.932999998331,alive,none,belted,1,m,36,1997,1988,driver,0,0
10-24,157.868999999017,alive,none,none,0,f,53,1997,1984,driver,0,1
10-24,157.868999999017,alive,airbag,belted,1,f,32,1997,1996,driver,0,0
10-24,157.868999999017,alive,airbag,belted,1,f,26,1997,1996,pass,0,0
25-39,10.4409999999916,alive,airbag,belted,1,f,36,1997,1996,driver,0,1
25-39,744.743999995291,alive,none,none,1,m,39,1997,1984,driver,0,2
10-24,22.8759999999311,alive,none,belted,1,m,26,1997,1987,driver,0,1
25-39,22.8759999999311,alive,none,belted,1,m,28,1997,1988,driver,0,1
10-2,199.727999998257,alive,none,none,1,m,23,1997,1983,driver,0,1
1-9,81.9989999998361,alive,airbag,belted,0,m,49,1997,1992,driver,0,1
10-24,72.0809999993071,alive,none,none,1,m,39,1997,1994,driver,0,1
25-39,219.702999999747,alive,none,belted,1,f,35,1997,1992,driver,0,1
25-39,227.27499999851,alive,none,belted,1,m,38,1997,1990,driver,0,1
25-39,30.6939999999013,alive,none,belted,1,f,38,1997,1987,driver,0,3
25-39,30.6939999999013,alive,none,belted,1,m,61,1997,1987,pass,0,0
25-39,63.2589999996126,alive,airbag,belted,1,m,19,1997,1996,driver,1,1
10-24,9.73999999999069,alive,airbag,none,1,m,22,1997,1997,driver,1,1
10-24,543.39999999851,alive,none,none,1,m,26,1997,1986,driver,0,0
10-24,543.39999999851,alive,none,none,1,f,26,1997,1986,pass,0,1
40-54,11.2569999999832,alive,none,belted,1,f,32,1997,1981,driver,0,0
10-24,1107.53999999166,alive,none,belted,0,f,19,1997,1986,driver,0,0
10-24,242.263999998569,alive,none,none,1,m,31,1997,1989,driver,0,1
10-24,242.263999998569,alive,none,none,1,m,31,1997,1989,pass,0,1
10-24,28.0689999999013,alive,airbag,none,0,m,78,1997,1993,driver,1,1
10-24,10.234999999986,alive,airbag,none,1,m,28,1997,1994,driver,0,3
10-24,67.1379999993369,alive,airbag,belted,0,m,22,1997,1995,driver,0,1
10-24,67.1379999993369,alive,airbag,belted,0,f,70,1997,1995,pass,0,2
10-24,67.1379999993369,alive,none,none,1,m,66,1997,1989,driver,0,3
1-9,949.737999998033,alive,none,belted,0,m,43,1997,1990,driver,0,0
55+,13.9099999999162,alive,none,none,1,m,21,1997,1985,driver,0,3
10-24,28.1659999999683,alive,none,belted,0,f,39,1997,1992,driver,0,1
10-24,28.1659999999683,alive,none,belted,1,f,17,1997,1993,driver,0,3
10-24,28.1659999999683,alive,none,none,1,f,18,1997,1993,pass,0,3
25-39,121.484999999404,alive,airbag,belted,0,f,77,1997,1995,driver,0,1
10-24,259.364999998361,alive,none,none,1,f,30,1997,1993,driver,0,1
10-24,259.364999998361,alive,none,belted,0,f,22,1997,1990,driver,0,1
40-54,337.752999998629,alive,airbag,belted,1,m,56,1997,1991,driver,1,1
25-39,225.10399999842,alive,none,none,1,m,17,1997,1987,driver,0,3
25-39,225.10399999842,alive,none,none,1,m,17,1997,1987,pass,0,1
10-24,1751.94799999893,alive,none,none,1,m,19,1997,1987,driver,0,1
25-39,15.8549999999814,alive,airbag,belted,1,m,84,1997,1993,driver,1,3
25-39,30.7089999997988,alive,none,belted,0,f,17,1997,1989,driver,0,3
10-24,30.7089999997988,alive,none,belted,1,f,26,1997,1986,driver,0,1
25-39,18.9459999999963,alive,airbag,belted,1,m,87,1997,1995,driver,1,4
10-24,128.177999999374,alive,airbag,belted,0,m,36,1997,1995,driver,0,1
10-24,128.177999999374,alive,airbag,belted,1,m,68,1997,1994,driver,1,1
10-24,128.177999999374,alive,none,belted,1,m,71,1997,1994,pass,0,1
10-24,844.381999999285,alive,none,belted,1,f,40,1997,1991,driver,0,0
10-24,18.5359999998473,alive,airbag,belted,1,m,21,1997,1995,driver,1,3
10-24,18.5359999998473,alive,none,belted,1,f,81,1997,1993,driver,0,3
25-39,1266.57299999893,alive,none,belted,1,m,54,1997,1991,driver,0,0
25-39,114.633999999613,alive,airbag,belted,1,f,22,1997,1996,driver,1,1
25-39,114.633999999613,alive,none,belted,1,m,52,1997,1988,driver,0,2
10-24,167.699999999255,alive,airbag,belted,0,f,60,1997,1997,driver,0,1
1-9,1104.73299999535,alive,none,belted,0,f,18,1997,1989,driver,0,0
25-39,18.5359999998473,alive,airbag,none,0,m,18,1997,1994,driver,1,3
10-24,18.5359999998473,alive,airbag,belted,1,f,79,1997,1994,driver,1,3
10-24,18.5359999998473,alive,airbag,belted,0,f,73,1997,1994,driver,0,3
10-24,18.5359999998473,alive,airbag,belted,0,f,72,1997,1994,pass,0,3
10-24,12.3829999999143,alive,none,belted,1,f,51,1997,1988,driver,0,3
10-24,12.3829999999143,alive,airbag,none,0,m,73,1997,1990,driver,1,1
10-24,12.3829999999143,alive,none,none,0,f,56,1997,1990,pass,0,3
25-39,111.742999999784,alive,none,none,1,m,59,1997,1985,driver,0,1
10-24,111.742999999784,alive,airbag,belted,0,f,23,1997,1992,driver,0,0
10-24,344.788999997079,alive,none,belted,1,f,17,1997,1986,driver,0,0
10-24,103.653999999166,alive,airbag,belted,1,m,30,1997,1997,driver,1,0
10-24,103.653999999166,alive,none,none,1,f,25,1997,1997,pass,0,2
25-39,103.653999999166,alive,none,none,1,f,56,1997,1988,driver,0,2
10-24,12.3829999999143,alive,none,belted,1,m,79,1997,1990,driver,0,3
25-39,41.3019999996759,alive,airbag,belted,1,f,24,1997,1994,driver,1,1
25-39,41.3019999996759,alive,none,belted,1,m,22,1997,1994,pass,0,1
55+,88.1779999993742,alive,none,none,1,m,25,1997,1992,driver,0,2
10-24,272.078999999911,alive,airbag,belted,1,f,73,1997,1991,driver,1,0